date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-09-08 12:33:51,IbaiLlanos,SkainLoL,26,69,2791,"buen cochazo se va notando el sueldo de caster",,,,1303310580464398336,https://twitter.com/IbaiLlanos/status/1303310580464398336
2020-09-08 12:22:58,IbaiLlanos,,65,728,8380,"Lo sabía. Lo sabía desde hace tiempo, y Jordi Cruz su ayudante. Qué hijos de puta, como se lo tenían callado.http://ver.20m.es/jibeb3",,,,1303307843391684609,https://twitter.com/IbaiLlanos/status/1303307843391684609
2020-09-08 09:29:07,IbaiLlanos,jxtamartin,53,53,4683,"No os voy a invitar a cenar eh",,,,1303264091662880769,https://twitter.com/IbaiLlanos/status/1303264091662880769
2020-09-08 08:33:22,IbaiLlanos,billkilgore_,3,3,260,"ASSSAASSSBDNS",,,,1303250062710116357,https://twitter.com/IbaiLlanos/status/1303250062710116357
2020-09-08 00:08:50,IbaiLlanos,billkilgore_,8,28,2357,"Enséñame los resultados",,,,1303123092764585990,https://twitter.com/IbaiLlanos/status/1303123092764585990
2020-09-07 23:48:29,IbaiLlanos,werlyb,18,200,6477,"Perdona por todo lo que digo en partida, no me representa y no soy yo",,,,1303117969753608196,https://twitter.com/IbaiLlanos/status/1303117969753608196
2020-09-07 23:45:31,IbaiLlanos,_paachoo_,6,16,1799,"No quiero hablar contigo nunca más en mi vida",,,,1303117223247196160,https://twitter.com/IbaiLlanos/status/1303117223247196160
2020-09-07 22:39:46,IbaiLlanos,,1150,44867,215649,"Me he mareadopic.twitter.com/dWW5WmuteA",,,,1303100678106165249,https://twitter.com/IbaiLlanos/status/1303100678106165249
2020-09-07 17:16:54,IbaiLlanos,,123,1254,26559,"Las buenas noches así >>>>>pic.twitter.com/rFORGtzK2K",,,,1303019425432514562,https://twitter.com/IbaiLlanos/status/1303019425432514562
2020-09-07 17:03:59,IbaiLlanos,IiRenacido,1,0,31,"Foto?",,,,1303016174624542720,https://twitter.com/IbaiLlanos/status/1303016174624542720
2020-09-07 16:15:48,IbaiLlanos,SoyFreshh,15,102,1117,"a las chicas lo que les gusta es que las abraces por la noche y veas naruto con ellas",,,,1303004047914434560,https://twitter.com/IbaiLlanos/status/1303004047914434560
