id	conversation_id	created_at	date	time	timezone	user_id	username	name	place	tweet	language	mentions	urls	photos	replies_count	retweets_count	likes_count	hashtags	cashtags	link	retweet	quote_url	video	thumbnail	near	geo	source	user_rt_id	user_rt	retweet_id	reply_to	retweet_date	translate	trans_src	trans_dest
1392502258479378433	1392494785819136002	2021-05-12 17:29:44 Romance Daylight Time	2021-05-12	17:29:44	+0200	1076110847947300865	lec	LEC		@lplenglish @MADLions_LoLEN u don't know this guy yet tho 🍐  https://t.co/rAEUCMUtvH	en	[]	[]	['https://pbs.twimg.com/media/E1MpQkUXsAAcp5w.jpg', 'https://pbs.twimg.com/media/E1MpRWBXIAUgTw0.jpg', 'https://pbs.twimg.com/media/E1MpRxCXEAk7hK1.png', 'https://pbs.twimg.com/media/E1MpSTQWYAESeci.jpg']	3	16	876	[]	[]	https://twitter.com/LEC/status/1392502258479378433	False		1	https://pbs.twimg.com/media/E1MpQkUXsAAcp5w.jpg							[{'screen_name': 'lplenglish', 'name': 'LPL', 'id': '944091487817539584'}, {'screen_name': 'MADLions_LoLEN', 'name': 'MAD Lions LoL English', 'id': '3400769271'}]				
1391829481954988034	1391829481954988034	2021-05-10 20:56:22 Romance Daylight Time	2021-05-10	20:56:22	+0200	1076110847947300865	lec	LEC		we did it  https://t.co/43C7vwphAN	en	[]	[]	['https://pbs.twimg.com/media/E1DFYo-WQAginQw.jpg']	18	91	3685	[]	[]	https://twitter.com/LEC/status/1391829481954988034	False	https://twitter.com/LEC/status/1390719356594757635	1	https://pbs.twimg.com/media/E1DFYo-WQAginQw.jpg							[]				
1391798752449634305	1391798752449634305	2021-05-10 18:54:15 Romance Daylight Time	2021-05-10	18:54:15	+0200	1076110847947300865	lec	LEC		gladlions.png  https://t.co/hSzyRw997t	en	[]	[]	['https://pbs.twimg.com/media/E1CpF64WYAYdYYG.jpg']	23	124	3717	[]	[]	https://twitter.com/LEC/status/1391798752449634305	False		1	https://pbs.twimg.com/media/E1CpF64WYAYdYYG.jpg							[]				
1391768661204127745	1391768661204127745	2021-05-10 16:54:41 Romance Daylight Time	2021-05-10	16:54:41	+0200	1076110847947300865	lec	LEC		this bwipo guy surely knows a lot about jungling	en	[]	[]	[]	40	87	6166	[]	[]	https://twitter.com/LEC/status/1391768661204127745	False		0								[]				
1391734736612167680	1391734736612167680	2021-05-10 14:39:53 Romance Daylight Time	2021-05-10	14:39:53	+0200	1076110847947300865	lec	LEC		good day to go 6-0  https://t.co/NhDnyO4VLI	en	[]	[]	['https://pbs.twimg.com/media/E1BvPUEWQAcY7xj.jpg']	86	32	3821	[]	[]	https://twitter.com/LEC/status/1391734736612167680	False		1	https://pbs.twimg.com/media/E1BvPUEWQAcY7xj.jpg							[]				
1391733959466291201	1391732252783091712	2021-05-10 14:36:47 Romance Daylight Time	2021-05-10	14:36:47	+0200	1076110847947300865	lec	LEC		@LCK_Global  https://t.co/ShvSTvaplD	und	[]	[]	['https://pbs.twimg.com/media/E1BuprKWQAIEXz2.png']	2	1	140	[]	[]	https://twitter.com/LEC/status/1391733959466291201	False		1	https://pbs.twimg.com/media/E1BuprKWQAIEXz2.png							[]				
1391398799579484167	1391394725765292036	2021-05-09 16:24:59 Romance Daylight Time	2021-05-09	16:24:59	+0200	1076110847947300865	lec	LEC		@endercasts @lolesports  https://t.co/TEr9zOprTK	und	[]	[]	['https://pbs.twimg.com/media/E089y-zXEAM26If.jpg']	10	7	807	[]	[]	https://twitter.com/LEC/status/1391398799579484167	False		1	https://pbs.twimg.com/media/E089y-zXEAM26If.jpg							[{'screen_name': 'endercasts', 'name': 'ender', 'id': '3010735950'}]				
1391395365904072704	1391394873996107778	2021-05-09 16:11:20 Romance Daylight Time	2021-05-09	16:11:20	+0200	1076110847947300865	lec	LEC		@Quickshot Trevor...	es	[]	[]	[]	3	3	370	[]	[]	https://twitter.com/LEC/status/1391395365904072704	False		0								[{'screen_name': 'Quickshot', 'name': 'Trevor Henry', 'id': '143006466'}]				
1391088674608197637	1391088344176680961	2021-05-08 19:52:39 Romance Daylight Time	2021-05-08	19:52:39	+0200	1076110847947300865	lec	LEC		@lolesports @MADLions_LoLEN @paiNGamingBR never doubted them	en	[]	[]	[]	7	9	739	[]	[]	https://twitter.com/LEC/status/1391088674608197637	False		0								[{'screen_name': 'lolesports', 'name': 'LoL Esports', 'id': '614754689'}, {'screen_name': 'MADLions_LoLEN', 'name': 'MAD Lions LoL English', 'id': '3400769271'}, {'screen_name': 'paiNGamingBR', 'name': 'paiN Gaming', 'id': '236112959'}]				
1391088351361515521	1391088351361515521	2021-05-08 19:51:22 Romance Daylight Time	2021-05-08	19:51:22	+0200	1076110847947300865	lec	LEC		lol	und	[]	[]	[]	62	87	5211	[]	[]	https://twitter.com/LEC/status/1391088351361515521	False		0								[]				
1391085639488221196	1391085639488221196	2021-05-08 19:40:36 Romance Daylight Time	2021-05-08	19:40:36	+0200	1076110847947300865	lec	LEC		man...	und	[]	[]	[]	33	46	2128	[]	[]	https://twitter.com/LEC/status/1391085639488221196	False	https://twitter.com/LEC/status/1391079899608371206	0								[]				
1391079899608371206	1391079635279097856	2021-05-08 19:17:47 Romance Daylight Time	2021-05-08	19:17:47	+0200	1076110847947300865	lec	LEC		@lolesports thanks for leash	en	[]	[]	[]	7	18	907	[]	[]	https://twitter.com/LEC/status/1391079899608371206	False		0								[{'screen_name': 'lolesports', 'name': 'LoL Esports', 'id': '614754689'}]				
1391071431950209030	1391071431950209030	2021-05-08 18:44:08 Romance Daylight Time	2021-05-08	18:44:08	+0200	1076110847947300865	lec	LEC		nice day to go 3-0  https://t.co/ahECgJ6tfZ	en	[]	[]	['https://pbs.twimg.com/media/E04T6I4XoAMdgOf.jpg']	35	68	4276	[]	[]	https://twitter.com/LEC/status/1391071431950209030	False		1	https://pbs.twimg.com/media/E04T6I4XoAMdgOf.jpg							[]				
1390720254624555011	1390719356594757635	2021-05-07 19:28:41 Romance Daylight Time	2021-05-07	19:28:41	+0200	1076110847947300865	lec	LEC		@ROGUE they are up 2-0, there's no way they throw this	en	[]	[]	[]	10	5	605	[]	[]	https://twitter.com/LEC/status/1390720254624555011	False		0								[{'screen_name': 'ROGUE', 'name': 'Rogue', 'id': '717510974769528832'}]				
1390719356594757635	1390719356594757635	2021-05-07 19:25:07 Romance Daylight Time	2021-05-07	19:25:07	+0200	1076110847947300865	lec	LEC		imagine thinking you can beat a team with this much synergy  https://t.co/CnltkE2x4h	en	[]	[]	['https://pbs.twimg.com/media/E0zTiUFXMAMl0je.jpg']	36	232	7847	[]	[]	https://twitter.com/LEC/status/1390719356594757635	False		1	https://pbs.twimg.com/media/E0zTiUFXMAMl0je.jpg							[]				
1390719052251815938	1390718657320341506	2021-05-07 19:23:55 Romance Daylight Time	2021-05-07	19:23:55	+0200	1076110847947300865	lec	LEC		@lolesports @MADLions_LoLEN never doubted them	en	[]	[]	[]	5	2	537	[]	[]	https://twitter.com/LEC/status/1390719052251815938	False		0								[{'screen_name': 'lolesports', 'name': 'LoL Esports', 'id': '614754689'}, {'screen_name': 'MADLions_LoLEN', 'name': 'MAD Lions LoL English', 'id': '3400769271'}]				
1390718873897476099	1390718873897476099	2021-05-07 19:23:12 Romance Daylight Time	2021-05-07	19:23:12	+0200	1076110847947300865	lec	LEC		gladlions.jpg  https://t.co/wd5qAbeOyo	de	[]	[]	['https://pbs.twimg.com/media/E0zTQIrWEAAQgT5.jpg']	14	153	4285	[]	[]	https://twitter.com/LEC/status/1390718873897476099	False		1	https://pbs.twimg.com/media/E0zTQIrWEAAQgT5.jpg							[]				
1390705463604428800	1390705463604428800	2021-05-07 18:29:55 Romance Daylight Time	2021-05-07	18:29:55	+0200	1076110847947300865	lec	LEC		time to prove that   big cats &gt; small cats  https://t.co/DWQ9wr6Juz	en	[]	[]	['https://pbs.twimg.com/media/E0zFbFcXsAMf6_g.jpg']	17	45	2134	[]	[]	https://twitter.com/LEC/status/1390705463604428800	False		1	https://pbs.twimg.com/media/E0zFbFcXsAMf6_g.jpg							[]				
1390618879764963333	1390618879764963333	2021-05-07 12:45:52 Romance Daylight Time	2021-05-07	12:45:52	+0200	1076110847947300865	lec	LEC		Who do YOU want to see succeed at #MSI2021?  Tell us in the replies and @DagdaCasts and @Caedrel will explain why your team will make it out of groups!	en	[{'screen_name': 'dagdacasts', 'name': 'dagda', 'id': '1722638815'}, {'screen_name': 'caedrel', 'name': 'marc', 'id': '3300282393'}]	[]	[]	72	11	677	['msi2021']	[]	https://twitter.com/LEC/status/1390618879764963333	False		0								[]				
1390381107988901891	1390381107988901891	2021-05-06 21:01:02 Romance Daylight Time	2021-05-06	21:01:02	+0200	1076110847947300865	lec	LEC		Guess that makes @MADLions_LoLEN a top 2 team then?	en	[{'screen_name': 'madlions_lolen', 'name': 'mad lions lol english', 'id': '3400769271'}]	[]	[]	9	20	1949	[]	[]	https://twitter.com/LEC/status/1390381107988901891	False		0								[]				
